episode_reward,nb_episode_steps,nb_steps
-77.0,78,161846
-74.0,75,161921
-74.0,75,161996
-97.0,98,162094
-105.0,106,162200
-98.0,99,162299
-69.0,70,162369
-137.0,138,162507
-76.0,77,162584
-72.0,73,162657
-77.0,78,162735
-94.0,95,162830
-83.0,84,162914
-82.0,83,162997
-83.0,84,163081
-81.0,82,163163
-80.0,81,163244
-71.0,72,163316
-93.0,94,163410
-230.0,231,163641
-104.0,105,163746
-116.0,117,163863
-77.0,78,163941
-71.0,72,164013
-77.0,78,164091
-93.0,94,164185
-81.0,82,164267
-83.0,84,164351
-86.0,87,164438
-76.0,77,164515
-71.0,72,164587
-95.0,96,164683
-92.0,93,164776
-79.0,80,164856
-62.0,63,164919
-69.0,70,164989
-81.0,82,165071
-103.0,104,165175
-95.0,96,165271
-80.0,81,165352
-100.0,101,165453
-100.0,101,165554
-97.0,98,165652
-95.0,96,165748
-81.0,82,165830
-80.0,81,165911
-80.0,81,165992
-76.0,77,166069
-75.0,76,166145
-101.0,102,166247
-86.0,87,166334
-114.0,115,166449
-62.0,63,166512
-81.0,82,166594
-96.0,97,166691
-88.0,89,166780
-85.0,86,166866
-93.0,94,166960
-87.0,88,167048
-88.0,89,167137
-65.0,66,167203
-97.0,98,167301
-74.0,75,167376
-102.0,103,167479
-139.0,140,167619
-76.0,77,167696
-112.0,113,167809
-91.0,92,167901
-80.0,81,167982
-74.0,75,168057
-87.0,88,168145
-89.0,90,168235
-92.0,93,168328
-139.0,140,168468
-73.0,74,168542
-78.0,79,168621
-64.0,65,168686
-115.0,116,168802
-79.0,80,168882
-102.0,103,168985
-81.0,82,169067
-201.0,202,169269
-84.0,85,169354
-70.0,71,169425
-82.0,83,169508
-75.0,76,169584
-81.0,82,169666
-80.0,81,169747
-104.0,105,169852
-87.0,88,169940
-113.0,114,170054
-97.0,98,170152
-85.0,86,170238
-76.0,77,170315
-143.0,144,170459
-71.0,72,170531
-71.0,72,170603
-111.0,112,170715
-76.0,77,170792
-92.0,93,170885
-70.0,71,170956
-69.0,70,171026
-78.0,79,171105
-81.0,82,171187
-77.0,78,171265
-126.0,127,171392
-76.0,77,171469
-92.0,93,171562
-141.0,142,171704
-79.0,80,171784
-80.0,81,171865
-69.0,70,171935
-73.0,74,172009
-173.0,174,172183
